Header,Section
Trump’s NATO comments stir up a political storm as Russia keeps quiet,Politics
Dutch court orders halt to export of F-35 jet parts to Israel,Politics
Israeli forces rescue 2 hostages in dramatic Gaza raid,Politics
Musk denies selling Starlink terminals to Russia after Kyiv alleges their use in occupied areas,Politics
U.S. advances Ukraine aid bill; Russia accused of using Musk’s Starlink in occupied territories,Politics
Angry farmer protests are spreading across Europe — and getting results,Politics
Russia’s Wagner Group expands into Africa’s Sahel with a new brand,Politics
"Biden campaign debuts official TikTok account, but app is still banned on most government devices",Politics
"Defense Secretary Lloyd Austin hospitalized for bladder issue, transfers duties to deputy",Politics
"Senate moves forward with Israel, Ukraine funding after vote on Super Bowl Sunday",Politics
Biden campaign co-chair fires back at speculation on the president’s mental capacity,Politics
Trump says he warned NATO ally: Spend more on defense or Russia can ‘do whatever the hell they want’,Politics
Hungarian president Novak resigns over sex abuse case pardon,Politics
Taiwan reports more Chinese balloons over Taiwan Strait,Politics
"Top House China hawk to retire, opening seat in battleground Wisconsin",Politics
Pakistan ex-PM Imran Khan aide says party aims to form government,Politics
"Palestinians brace for Rafah evacuation, Israeli assault plan",Politics
Trump’s pro-Anheuser-Busch post came after UFC boss Dana White urged him to back company: Source,Politics
Trader Joe’s appeals dismissal of lawsuit claiming labor union violated trademark,Politics
Pakistan’s ex-PM Nawaz Sharif declares victory in fraught election as opponents claim vote-rigging,Politics
Putin hints at swapping detained Wall Street Journal reporter for Russian prisoner,Politics
Ukraine’s Zelenskyy takes one of his ‘biggest gambles’ yet by replacing top military commander,Politics
Putin claims Russia has no interest in wider war; UAE mediates prisoner exchange,Politics
The top UN court has ruled on Gaza genocide case. Here’s what happens now,Politics
U.S. lawmakers accuse five major VC firms of investing billions in Chinese military-linked companies,Politics
"Donald Trump wins Nevada Republican caucus, NBC News projects",Politics
"Biden says ‘my memory is fine,’ disputes special counsel’s report in national address",Politics
Judge denies Peter Navarro’s bid to remain out of prison while appealing contempt of Congress case,Politics
Former Fox News host Tucker Carlson interviewed Russian President Vladimir Putin,Politics
"Trump media deal partner DWAC nears $50 million financing, sources tell Reuters",Politics
"Biden ‘willfully’ kept classified materials, had ‘poor memory’: Special counsel",Politics
"Senate advances $95 billion Ukraine, Israel funding bill, faces uphill battle as budget talks loom",Politics
Top Biden official at Senate hearing defends liquefied natural gas pause,Politics
AI-generated voices in robocalls can deceive voters. The FCC just made them illegal,Politics
"5 Marines aboard helicopter that went down outside San Diego are confirmed dead, military says",Politics
5 things to know before the stock market opens Thursday,Politics
Supreme Court skeptical of Trump ballot disqualification by Colorado,Politics
Tucker Carlson reportedly leaves Russia; Ukraine’s Zelenskyy appoints new army chief,Politics
‘Stability is fragile’: An overlooked European conflict zone is at a tipping point,Politics
"Chinese firm behind ‘news’ websites pushes pro-Beijing content globally, researchers find",Politics
Marianne Williamson drops long-shot 2024 presidential bid,Politics
Budget office: Biden green energy plan will cost much more than initial projections,Politics
Trump Media SPAC insider trading defendant hit with new money laundering count,Politics
"U.S. engineer contacted China before stealing missile tracking tech, DOJ says",Politics
EU tells Hungary its ‘sovereignty’ law violates EU law,Politics
Trump-admiring populist Milei lashes out at Argentina’s governors after major reform bill setback,Politics
5 things to know before the stock market opens Wednesday,Politics
China appoints ‘Broker Butcher’ Wu Qing as new chairman of securities regulator,Politics
"Netanyahu rejects ceasefire proposal, insists on total victory over Hamas",Politics
Dutch far-right leader Wilders’ hopes of becoming prime minister sink after coalition talks collapse,Politics
Tucker Carlson teases interview with Putin; Kremlin says ex-Fox News host is not ‘pro-Russian’,Politics
"‘None of these candidates’ defeats Nikki Haley in Nevada Republican primary, NBC News projects",Politics
"Biden wins Nevada Democratic primary, NBC News projects",Politics
"China expresses concerns to U.S. over tariffs, sanctions in Beijing talks",Politics
No criminal charges expected in Biden classified documents probe: NBC,Politics
Senate probe zeroes in on tax deductions billionaire Harlan Crow took on superyacht,Politics
"Elon Musk’s X funds Gina Carano lawsuit vs. Disney, Lucasfilm over ‘Mandalorian’ firing",Politics
"ESPN, Fox and Warner Bros. Discovery to launch joint sports streaming platform this year",Politics
Tucker Carlson set to interview Vladimir Putin,Politics
"House Republican vote to impeach Mayorkas fails, a major defeat for Johnson",Politics
Trump fraud trial judge demands details about possible perjury by Allen Weisselberg,Politics
Leon Cooperman says he will not vote for Trump or Biden,Politics
New Senate bill aims to kill proposed SEC rule on AI conflicts of interest,Politics
Appeals court denies Trump immunity in 2020 criminal election case,Politics
The prospect of a united Ireland emerges as a republican leader takes office in Belfast,Politics
Tucker Carlson says he’ll interview Putin; tensions rise at Russian-held nuclear plant,Politics
"U.S. Treasury team heads to China to talk subsidies, economic policies",Politics
"Bankrupt trucker Yellow repays $700 million Covid loan, Teamsters blast ‘failed executives’",Politics
"Nikki Haley requests Secret Service protection, citing rise in threats",Politics
Trump wants to debate Biden ‘immediately’ — but president shrugs him off,Politics
Kremlin declines to comment on Tucker Carlson rumors; Russian war critic’s election bid set to be rejected,Politics
Russia’s war in Ukraine has had an unlikely consequence — reviving EU plans to get even bigger,Politics
Australian writer Yang Hengjun given suspended death sentence in Beijing,Politics
"Senate releases $118 billion bipartisan aid proposal for Israel, Ukraine, border security",Politics
Trump floats ‘more than’ 60% tariffs on Chinese imports,Politics
"U.S. intends to take ‘additional strikes’ against Iran-backed groups, national security advisor says",Politics
Senators race to release their package of border policies and aid for Ukraine and Israel,Politics
"Biden nets landslide victory in South Carolina Democratic primary, over 95% of votes",Politics
Nikki Haley makes surprise ‘Saturday Night Live’ cameo asking ‘Trump’ questions,Politics
House Speaker Johnson announces ‘standalone’ Israel funding package,Politics
"U.S. launches retaliatory strikes in Iraq, Syria, nearly 40 reported killed",Politics
Judge postpones Trump D.C. election trial pending appeal,Politics
Court blocks Florida law barring Chinese citizens from owning property,Politics
Trump Georgia prosecutor admits romantic relationship with Atlanta D.A. boss,Politics
Three people indicted in $400 million FTX crypto hack conspiracy,Politics
Malaysia halves jail sentence of ex-prime minister Najib,Politics
World Court rules in favor of Kyiv on genocide case; Zelenskyy says EU aid sends ‘clear signal’ to Moscow and the U.S.,Politics
Russian war critic poses an awkward challenge for Putin and the Kremlin as the election nears,Politics
Trump clemency recipient Philip Esformes reaches plea deal in Medicare fraud case,Politics
Trump New York business fraud case verdict delayed to later in February,Politics
Ad giant Publicis paying $350 million to settle U.S. opioid crisis claims,Politics
Defense Secretary Lloyd Austin apologizes for his handling of cancer diagnosis and hospitalization,Politics
Donald Trump’s lawsuit over ‘Steele dossier’ thrown out by UK court,Politics
EU agrees $54 billion aid package for Kyiv; Orban says Hungary’s funds excluded from deal,Politics
"Biden, allied groups $140 million campaign war chest dwarfs Republican rivals",Politics
"Haley campaign started election year with $14 million, after raising $17 million last quarter",Politics
"Trump campaign raised $19 million in Q4, entering election year with $33 million cash",Politics
"Nikki Haley super PAC enters election year with just $3 million, adding to woes",Politics
Man pleads guilty in $1 billion scheme to dodge money laundering rules in New York,Politics
"John Podesta will take over for John Kerry as the U.S. special climate change envoy, AP source says",Politics
"QAnon-linked legal fund spent $400,000 defending Trump allies, new filing shows",Politics
Judge dismisses Disney’s lawsuit alleging retaliation by Florida Gov. Ron DeSantis,Politics
"Trump campaign chief urges GOP megadonors to ignore Trump’s words, focus on primary lead: Sources",Politics
FBI shuts down China’s ‘Volt Typhoon’ hackers targeting U.S. infrastructure,Politics
Meta chief Mark Zuckerberg ‘needs to do the right thing’ in child sex targeting fight: New Mexico AG,Politics
"Chinese hackers are determined to ‘wreak havoc’ on U.S. critical infrastructure, FBI director warns",Politics
Putin’s anti-war opponent takes step toward election; Russia says West could meddle in upcoming vote,Politics
"Pakistan ex-PM Imran Khan hit with new 14-year jail sentence, a day after receiving 10-year term",Politics
"U.S.-China fentanyl talks get off to a ‘productive’ start, security advisor says",Politics
"Highlights of Tesla CEO Elon Musk’s court ruling: Mars, Frankenstein, a self-driving car pun",Politics
Trump allies ramp up attacks on Taylor Swift ahead of Super Bowl,Politics
Walmart announces 3-for-1 stock split as shares hover below all-time high,Politics
"Elon Musk’s $56 billion Tesla compensation voided by judge, shares slide",Politics
Citadel CEO and billionaire Ken Griffin donated $5 million to Nikki Haley super PAC,Politics
Russian oligarch Dmitry Rybolovlev loses suit accusing Sotheby’s of art fraud,Politics
White House touts highest consumer confidence in more than 2 years,Politics
E. Jean Carroll lawyer says Trump claims of judge conflict no basis to toss $83.3 million verdict,Politics
"Fahmi Quadir, short seller nicknamed ‘The Assassin,’ takes aim at for-profit college giant Adtalem",Politics
Former Pakistan Prime Minister Imran Khan sentenced to 10-year jail term,Politics
"Absurd to believe Russia will invade other countries, Moscow says; Kyiv says it has destroyed Su-34 jet",Politics
DOJ and SEC unveil charges in $1.9 billion HyperFund cryptocurrency fraud,Politics
Trump attempts to take credit for stock market record highs under Biden,Politics
"Sen. Elizabeth Warren pushes Fed Chair Powell to cut ‘astronomical’ rates, ease housing pressure",Politics
Haley hits Trump on tariffs ahead of her Wall Street fundraisers,Politics
Trump lashes out at financial monitor in business fraud case after she reports errors,Politics
Hungary accuses EU of blackmail over Ukraine aid standoff,Politics
White House announces new federal investments in Regional Innovation Engines,Politics
Biden faces demands from Republicans in Congress to strike Iran after U.S. troop deaths,Politics
5 things to know before the stock market opens Monday,Politics
"Zelenskyy’s income fell drastically following Russia’s invasion, new declaration reveals",Politics
Zelenskyy publishes income as part of EU push; Hungarian foreign minister arrives in Ukraine,Politics
Nikki Haley slams Trump for trying to torpedo congressional border deal,Politics
House GOP releases impeachment articles in bid to oust Homeland Security’s Mayorkas over the border,Politics
Trafigura assesses Red Sea risks after tanker attacked by Houthis,Politics
U.S. reviewing Venezuelan sanctions policy in wake of court decision,Politics
"Russia’s drones, missiles target Ukraine’s critical infrastructure, Kyiv says",Politics
"Guterres: UN to punish staffers involved in ‘terror,’ urges UNRWA funding",Politics
Beijing intensifies military pressure on Taiwan as U.S.-China talks resume,Politics
Republican presidential candidate Nikki Haley targeted in swatting incident,Politics
"WWE founder Vince McMahon resigns from TKO Group after being accused of sexual assault, trafficking",Politics
FTC fines Kubota $2 million in largest ever ‘Made in the USA’ penalty,Politics
"Former New York Gov. Andrew Cuomo sexually harassed at least 13 women, DOJ says",Politics
Jury rules Trump must pay E. Jean Carroll $83.3 million in damages for defamation,Politics
Saudi Arabia’s first alcohol store aims to tackle a longstanding problem: Booze smuggling,Politics
Nikki Haley touts $1.2 million in donations after Trump vows to blacklist her donors,Politics
Alabama execution using nitrogen gas puts U.S. at front of death penalty debate,Politics
"Top UN court rules Israel must prevent genocide in Gaza, falls short of ordering a cease-fire",Politics
"Xpeng plans to hire 4,000 people, invest in AI as CEO warns EV rivalry may end in ‘bloodbath’",Technology
Nintendo shares fall nearly 6% after report that the Switch 2 will be delayed,Technology
Singapore’s AI ambitions get a boost with $740 million investment plan,Technology
EU reportedly set to fine Apple 500 million euros amid antitrust crackdown,Technology
Sony plunged $10 billion after its PS5 sales cut. But a bigger issue is its near decade low games margin,Technology
What the U.S. can learn from Norway when it comes to EV adoption,Technology
"Microsoft, Google, tech peers agree to combat election-related AI misinformation",Technology
Discover how Singapore Airlines creates a world-class experience,Technology
Coinbase shares surge after crypto exchange posts first profit in two years,Technology
Jeff Bezos sells more than $2 billion in Amazon stock for third time this month,Technology
"Toast will lay off 10% of its workforce, about 550 employees, as growth slows",Technology
Trade Desk shares soar on revenue beat and strong guidance,Technology
Crypto venture funding climbs for first time in nearly 2 years after bitcoin’s stellar run,Technology
Microsoft will bring four Xbox games to other companies’ consoles,Technology
OpenAI’s new software lets you create realistic video by just typing a sentence,Technology
Nvidia holdings disclosure pumps up shares of small AI companies,Technology
2U craters as earnings miss adds pressure to debt-ridden online education firm,Technology
Richard Branson and Oppenheimer’s grandson urge action to stop AI and climate ‘catastrophe’,Technology
TSMC shares hit record high after Morgan Stanley lifts client Nvidia’s price target on AI chip demand,Technology
"TikTok, Facebook and YouTube sued by New York for alleged harm to kids’ mental health",Technology
SpaceX files to move incorporation site from Delaware to Texas,Technology
Twilio begins operational review of activist-targeted business unit,Technology
"Nvidia passes Alphabet in market cap, now the third most valuable U.S. company",Technology
Meta says Broadcom CEO Hock Tan is joining board of directors,Technology
"Cisco says it’s cutting 5% of global workforce, amounting to over 4,000 jobs",Technology
Lyft CEO takes blame for ‘extra zero that slipped into’ earnings release,Technology
Uber stock pops more than 14% on $7 billion share buyback,Technology
Here’s what Meta CEO Mark Zuckerberg has to say about the Apple Vision Pro,Technology
AI is shaking up online dating with chatbots that are ‘flirty but not too flirty’,Technology
Delivery Hero CEO happy to keep Asia unit Foodpanda ‘forever’ after stock plunged on sale outlook,Technology
Bitcoin regains $1 trillion market cap as the cryptocurrency hits over two-year high,Technology
Uber unveils $7 billion share buyback after first profitable year,Technology
Indonesia’s GoTo denies merger talks with ride-hailing rival Grab,Technology
Waymo issues a voluntary recall on its self-driving vehicle software,Technology
Jeff Bezos sells more than $2 billion in Amazon stock,Technology
Lyft shares pull way back after CFO corrects major earnings release error,Technology
Nvidia is now worth more than Amazon thanks to the AI chip boom,Technology
"Instacart to lay off 250 employees, or about 7% of the company, as part of restructuring",Technology
Airbnb reports better-than-expected revenue and beats on guidance,Technology
"Bitcoin falls under $50,000 following hotter-than-expected inflation data",Technology
Shopify shares down after company reports light guidance,Technology
The way AI will be sold to a skeptical public is starting to become clear,Technology
"Apple and Microsoft clinch key win as iMessage, Bing exempted from tough EU competition rules",Technology
Tesla board silent as investors await next steps after court revokes Musk’s $56 billion pay package,Technology
"London lags behind rest of Europe when it comes to 5G network quality, report finds",Technology
Wish’s deep discount sale to Singapore’s Qoo10 ramps up competition for Temu and Shein,Technology
Arm shares jump 29% as post-earnings rally extends to second week,Technology
"Bitcoin extends its gains, breaking through the $50,000 level",Technology
Microsoft’s AI growth is helping its cloud business weaken Amazon’s lead,Technology
AI frenzy puts Nvidia briefly ahead of Amazon in market value,Technology
"Elon Musk must testify in SEC probe of his Twitter takeover, judge says",Technology
Digital banking giant Revolut is launching phone plans for travelers in the UK,Technology
"Biden campaign debuts official TikTok account, but app is still banned on most government devices",Technology
China may be making more advanced chips despite U.S. sanctions — but it still faces big problems,Technology
Investors in Airbnb arbitrage business claim fraud in scheme promising ‘higher returns’ than stocks,Technology
"As Sam Bankman-Fried awaits prison sentence, FTX customers await a surprise: Full repayment",Technology
Amazon’s Prime Video lands exclusive NFL playoff game next season,Technology
"How Walmart, Delta, Chevron and Starbucks are using AI to monitor employee messages",Technology
OpenAI CEO Sam Altman seeks as much as $7 trillion for new AI chip project: Report,Technology
"Bitcoin tops $48,000 in a big comeback to end the week",Technology
"NY attorney general expands crypto lawsuit, sees $3 billion fraud",Technology
Nvidia chases $30 billion custom chip market with new unit: Reuters,Technology
China e-commerce player Temu set to run its second Super Bowl ad — and do $10 million in giveaways,Technology
"SoftBank shares extend their surge, pop more than 15% on earnings beat",Technology
Arm’s post-earnings pop leaves stock trading at over 100% premium to Nvidia,Technology
Cloudflare stock jumps 21% on earnings beat as the company wins larger deals,Technology
"Pinterest shares drop on weak outlook, revenue miss",Technology
23andMe considers splitting up company to revive stock price,Technology
"Bitcoin rises above $45,000, its highest level in almost a month",Technology
Arm shares surge 48% after SoftBank-controlled chip designer issues strong forecast,Technology
Google rebrands Bard AI to Gemini and launches a new app and subscription,Technology
"Stripe rival Adyen’s shares soar 22% as European payments giant posts profit beat, slows hiring",Technology
"SoftBank nets $16 billion on Arm earnings pop, exceeding its total losses in WeWork",Technology
"Arm shares soar as much as 41% after chip designer gives strong forecast, says AI is boosting sales",Technology
PayPal issues disappointing guidance even as fourth-quarter earnings top estimates,Technology
"Green Plains stock jumps after company announces strategic review, standstill with Ancora",Technology
Snap stock closes down 34% after company’s revenue miss and weak guidance,Technology
Roblox shares rise 10% after company beats estimates and issues strong guidance,Technology
Uber beats estimates as revenue and bookings see double-digit growth,Technology
"Wheely, Uber’s luxury competitor, launches in Dubai to take on the UAE’s dominant player",Technology
Google says Singapore has ‘very high’ potential to be a global AI hub,Technology
Meta is trouncing Snap in digital ads — here’s why,Technology
"Snap plunges 30% on revenue miss and light guidance, as company says Mideast war creates ‘headwind’",Technology
Sonos shares rise 12% on earnings and revenue beat,Technology
"Amazon cuts hundreds of jobs in Pharmacy, One Medical units: Read the memo",Technology
CleanSpark jumps on plans to buy four bitcoin mining facilities ahead of the halving,Technology
"Palantir shares rocket 30% after revenue beat, strong demand for AI",Technology
"Adam Neumann is trying to buy WeWork, but Third Point says financing not committed",Technology
"DocuSign to lay off 6% of workforce, or about 440 jobs",Technology
Meta says it will identify more AI-generated images ahead of upcoming elections,Technology
"World’s biggest chipmaker TSMC to open second Japan factory with backing from Sony, Toyota",Technology
Palantir stock jumps 19% as AI demand drives revenue beat,Technology
"Snap to lay off 10% of global workforce, around 500 employees",Technology
"Digital ad market shows signs of sharp rebound as Meta, Amazon point to growth",Technology
Delivery Hero reverses losses to climb 5% after reporting sales growth in line with targets,Technology
Satya Nadella’s first decade as Microsoft CEO was defined by cloud. What’s next?,Technology
"DocuSign’s deal talks with Bain, Hellman & Friedman stall: Reuters",Technology
Tech’s longtime highfliers are growing up by getting smaller,Technology
Amazon warns climate change could disrupt its business in annual filing,Technology
Tech execs are telling investors they have to spend money to make money on AI,Technology
Meta’s Zuckerberg sees $28 billion windfall after shares rocket,Technology
"Mark Zuckerberg’s engagement in combat sports is investment risk, Meta says",Technology
Three people indicted in $400 million FTX crypto hack conspiracy,Technology
Apple’s Vision Pro virtual reality headset launches in U.S.,Technology
Apple’s sales plunged in China — these are the iPhone giant’s 5 biggest problems right now,Technology
AI lobbying spikes 185% as calls for regulation surge,Technology
"Meta shares surge 20% on soaring profit, better-than-expected guidance and first-ever dividend",Technology
"AMD bets on AI-powered PCs as artificial intelligence race with Nvidia, Intel heats up",Technology
"Mark Zuckerberg says Meta will ‘keep things lean,’ going big in AI with a lid on hiring",Technology
Tesla to settle lawsuit over mishandling hazardous waste in California,Technology
Tim Cook teases Apple AI announcement ‘later this year’,Technology
Amazon cloud unit speeds up revenue growth as clients adopt AI services,Technology
Meta’s Reality Labs loses record $4.65 billion ahead of Apple’s Vision Pro launch,Technology
"Meta is paying first-ever dividend, authorizes $50 billion buyback",Technology
Amazon announces AI shopping assistant called Rufus,Technology
"Zoom is cutting about 150 jobs, or close to 2% of its workforce",Technology
Amazon reports better-than-expected results as revenue jumps 14%,Technology
Meta shares jump after profit triples and company announces first-ever dividend,Technology
Apple stock falls after company gives outlook suggesting weak iPhone sales,Technology
"Activist Elliott builds roughly 13% stake in Etsy, secures board seat",Technology
Taylor Swift songs removed from TikTok after her label UMG’s spat with the app,Technology
"Okta to lay off 7% of staff, about 400 employees",Technology
Elon Musk says Tesla will hold a shareholder vote to incorporate in Texas after Delaware pay snub,Technology
Neuralink competitor Synchron to ramp up brain implant production with equity stake in manufacturer,Technology
Wall Street punishes Alphabet and Microsoft despite earnings beats after stocks hit record,Technology
"Elon Musk’s $56 billion Tesla compensation voided by judge, shares slide",Technology
Tesla upgrades Model Y in China as BYD competition heats up,Technology
Mastercard jumps into generative AI race with model it says can boost fraud detection by up to 300%,Technology
"Meta, X, TikTok, Snap and Discord face senators eager for tighter social media regulation",Technology
Qualcomm earnings beat estimates as smartphone chip sales suggest recovery,Technology
Meta’s continued rally could hinge on the fortunes of upstart retailers Temu and Shein,Technology
Starboard urges GoDaddy to set ‘prudent’ guidance and offer specifics on cost savings,Technology
Volkswagen sets up its own AI lab as car industry looks to embrace the tech,Technology
Meta’s Zuckerberg apologizes to victims in tense D.C. hearing: ‘I’m sorry for everything’,Technology
"Taylor Swift’s label UMG to pull music from TikTok, accusing the social media app of bullying",Technology
Alphabet shares slide on disappointing Google ad revenue,Technology
Microsoft issues light guidance even as Azure growth drives earnings beat,Technology
Apple Vision Pro review: This is the future of computing and entertainment,Technology
Former UK finance minister joins Coinbase crypto exchange as an advisor,Technology
Samsung Electronics’ semiconductor business reports record annual loss,Technology
AMD shares fall as first-quarter forecast comes in light,Technology
"PayPal will cut about 2,500 jobs, or 9% of global workforce",Technology
"Apple iPhone shipments may see ‘significant decline’ in 2024, analyst says",Technology
Delivery Hero plunges to record low after selling stake in food delivery rival Deliveroo,Technology
"Trimble to buy back $800 million worth of shares, expand board following Jana investment",Technology
"Super Micro shares pop after earnings beat, rosy revenue forecast",Technology
"Symptoms from excessive screen time cost the U.S. $73 billion a year, study finds",Technology
"Alibaba-backed Xreal, rival to Apple’s Vision Pro, claims it’s now an AR glasses unicorn",Technology
"Amazon terminates iRobot deal, Roomba maker to lay off 31% of staff",Technology
Elon Musk’s Neuralink implants brain tech in human patient for the first time,Technology
OpenAI is working on AI education and safety initiative with Common Sense Media,Technology
Reed Hastings sells $1.1 billion in Netflix shares,Technology
"Bitcoin bounces above $43,000, turns positive for 2024",Technology
Activists are eyeing tech stocks ahead of expected M&A rebound after two-year lull,Technology
Sony is making a bold bet on an African gaming startup to boost PlayStation’s reach in the continent,Technology
Sextortion is fastest-growing crime targeting minors in North America – and social media can do more to stop it,Technology
Taylor Swift’s name not searchable on X days after sexually explicit deepfakes go viral,Technology
"Tech layoffs balloon in January as Wall Street rally lifts Alphabet, Meta, Microsoft to records",Technology
How the Apple iPhone became one of the best-selling products of all time,Technology
Intel has worst day since 2020 on weak outlook,Technology
Bitcoin turns positive for the week as investor worries about GBTC sell pressure subside,Technology
Intel stock sinks more than 10% as early 2024 outlook comes up short,Technology
"Tesla recalls nearly 200,000 vehicles in the U.S. over rearview camera bug",Technology
"Apple faces ‘strong action’ if App Store changes fall short, EU’s Breton says",Technology
"Alphabet, Microsoft and Meta close at all-time highs ahead of earnings next week",Technology
"Microsoft lays off 1,900 workers, nearly 9% of gaming division, after Activision Blizzard acquisition",Technology
Elon Musk says Chinese EV makers will ‘pretty much demolish’ most competitors without trade barriers,Technology
UK opens antitrust probe into Vodafone merger with CK Hutchison’s Three mobile network,Technology
Baidu’s Ernie AI chatbot to power Samsung’s new Galaxy S24 smartphones,Technology
AI hiring frenzy to fuel layoffs in other tech segments as firms strive to balance costs,Technology
"Apple opens up iPhone app store in Europe, a major crack in its ‘walled garden’",Technology
"FTC launches AI inquiry into Amazon, Alphabet, Microsoft, looking at ‘investments and partnerships’",Technology
Apple takes top spot in China’s smartphone market for the first time as Huawei returns to the top 5,Technology
Tesla shares close down 12% after automaker warns of slowdown,Technology
"Nokia jumps 8% as it announces $653 million share buyback program, warns of challenging 2024",Technology
Judge refused to let Binance founder Zhao travel to UAE despite his offer to use equity as security,Technology
HPE hacked by same Russian intelligence group that hit Microsoft,Technology
"IBM shares rise after earnings top estimates in ‘uncertain, volatile’ economy",Technology
Meta passes $1 trillion in market cap,Technology
Amazon’s Ring will stop allowing police to request doorbell video footage from users,Technology
"Tesla shares drop 6% on weak auto revenue, warning of slower growth in 2024",Technology
Microsoft briefly crosses $3 trillion in market cap,Technology
"North Korea crypto hacking activity soars to record high in 2023, new report shows",Technology
"India’s Zee Entertainment urges Sony to restore blockbuster merger, sues over termination",Technology
Spotify to begin in-app sales on iPhone in Europe after new EU law requires Apple to allow it,Technology
"SAP shares surge to all-time high after results, plans to restructure 8,000 jobs in push to AI",Technology
Critical chip firm ASML posts 30% surge in full-year revenue but signals slowdown in 2024,Technology
"EBay to eliminate about 1,000 jobs, or 9% of full-time workforce",Technology
"SAP plans job changes or buyouts for 8,000 employees in restructuring plan",Technology
TikTok cuts about 60 jobs as January layoffs continue across tech industry,Technology
Core Scientific returns to Nasdaq as Wall Street shows renewed love for bitcoin mining,Technology
Alphabet cuts ties with Australian AI firm that helped train Bard and Google Search,Technology
"Alibaba co-founders buy more than $200 million worth of shares, sending stock up",Technology
"Bitcoin trims its losses after breaking below $39,000 to lowest level in 7 weeks",Technology
"SoftBank leads TravelPerk’s $104 million fundraising, in a bet that AI will reshape corporate travel",Technology
Fujitsu role in Britain’s Post Office scandal could have severe reputational consequences,Technology
Founders of Wise and Skype raise $436 million to build tech giants in Europe,Technology
India’s Zee Entertainment dives 31% after Sony calls off mega merger,Technology
Tencent’s Riot Games division cuts 11% of staff to ‘create focus’,Technology
"YouTube star MrBeast makes more than $263,000 in X video, but calls it ‘a bit of a facade’",Technology
"New details emerge about SEC’s X account hack, including SIM swap",Technology
